ExamID,Examiner's Analysis,Gun_1,Gun_Q,M_NM,ExamID_2,Pair
XJ,Elimination,1,6,NM,XJ,1-6
XJ,Elimination,2,7,NM,XJ,2-7
XJ,Inc-A,Z,Z,M,XJ,Z-Z
XJ,Unsuitable-Lack of sufficent marks on KNOWN samples,W,W,M,XJ,W-W
XJ,Unsuitable-Lack of sufficent marks on KNOWN samples,X,X,M,XJ,X-X
XJ,Inc-C,3,8,NM,XJ,3-8
XJ,Identification,Y,Y,M,XJ,Y-Y
XJ,Inc-C,D,J,NM,XJ,D-J
AY,Elimination,Y,E,NM,AY,Y-E
AY,Elimination,A,H,NM,AY,A-H
AY,Identification,10,10,M,AY,10-10
AY,Elimination,C,J,NM,AY,C-J
