ARB_ID,SET,BRAND,match,afte3,N_8good
769,2,2,0,3,8
769,3,1,0,3,8
769,4,1,0,3,8
769,5,2,1,1,8
769,6,1,0,3,8
769,7,2,1,1,8
769,8,1,1,1,8
777,1,1,1,1,8
777,2,2,0,3,8
777,3,2,1,1,8
777,4,1,0,2,8
777,5,2,0,3,8
777,6,2,0,3,8
777,7,1,1,1,8
777,8,1,1,1,8
785,1,1,1, , 
785,2,2,0, , 
785,3,2,0, , 
785,4,2,1, , 
785,5,1,1, , 
785,6,1,1, , 
785,7,1,0, , 
785,8,2,1, , 
793,1,1,0,3,8
793,2,2,0,3,8
793,3,1,0,2,8
793,4,1,0,3,8
793,5,2,1,1,8
793,6,2,0,3,8
793,7,2,1,1,8
793,8,1,1,1,8
801,1,1,1,1,8
801,2,2,1,1,8
801,3,2,1,1,8
801,4,1,0,2,8
801,5,1,1,1,8
801,6,2,0,2,8
801,7,1,0,3,8
801,8,2,0,2,8
809,1,1,1,1,8
809,2,2,1,1,8
809,3,2,1,1,8
809,4,1,0,3,8
809,5,1,1,2,8
809,6,2,0,3,8
809,7,1,0,3,8
809,8,2,1,1,8
817,1,1,0, , 
817,2,2,0, , 
817,3,1,0, , 
817,4,2,1, , 
817,5,2,1, , 
817,6,2,0, , 
817,7,1,0, , 
817,8,1,1, , 
825,1,2,1, , 
825,2,1,0, , 
825,3,1,1, , 
825,4,2,0, , 
825,5,1,1, , 
825,6,2,0, , 
825,7,1,0, , 
825,8,2,0, , 
833,1,2,1,1,8
833,2,1,0,2,8
833,3,2,1,1,8
833,4,2,0,2,8
833,5,2,0,2,8
833,6,1,1,1,8
833,7,1,1,1,8
833,8,1,0,2,8
841,1,1,1,1,8
841,2,2,0,3,8
841,3,1,0,3,8
841,4,2,0,2,8
841,5,1,1,1,8
841,6,1,0,2,8
841,7,2,1,1,8
841,8,2,1,1,8
849,1,2,0,3,8
849,2,2,0,2,8
849,3,1,0,3,8
849,4,2,0,3,8
849,5,1,1,1,8
849,6,1,1,1,8
849,7,2,1,1,8
849,8,1,1,2,8
857,1,1,0,2,8
857,2,1,0,3,8
857,3,2,0,3,8
857,4,1,0,3,8
857,5,2,1,1,8
857,6,2,0,2,8
857,7,2,1,1,8
857,8,1,1,1,8
865,1,2,0,3,8
865,2,1,1,1,8
865,3,1,0,3,8
865,4,2,0,3,8
865,5,1,1,1,8
865,6,2,1,1,8
865,7,2,0,3,8
865,8,1,1,1,8
873,1,1,0,2,8
873,2,1,1,1,8
873,3,1,0,2,8
873,4,2,0,3,8
873,5,2,1,1,8
873,6,2,0,2,8
873,7,2,1,1,8
873,8,1,0,2,8
881,1,1,0,2,8
881,2,2,0,3,8
881,3,1,1,1,8
881,4,1,1,1,8
881,5,2,1,1,8
881,6,2,1,1,8
881,7,1,0,3,8
881,8,2,1,1,8
889,1,2,0, , 
889,2,1,1, , 
889,3,2,1, , 
889,4,1,0, , 
889,5,1,0, , 
889,6,1,0, , 
889,7,2,1, , 
889,8,2,1, , 
897,1,2,0,3,8
897,2,1,1,2,8
897,3,2,1,1,8
897,4,1,0,2,8
897,5,1,1,2,8
897,6,2,0,3,8
897,7,2,1,1,8
897,8,1,0,2,8
905,1,2,0,3,8
905,2,2,0,3,8
905,3,1,1,1,8
905,4,1,0,3,8
905,5,1,1,1,8
905,6,2,0,3,8
905,7,1,1,1,8
905,8,2,1,1,8
913,1,1,0, , 
913,2,1,0, , 
913,3,1,1, , 
913,4,2,1, , 
913,5,2,0, , 
913,6,2,1, , 
913,7,2,0, , 
913,8,1,1, , 
921,1,1,0,3,8
921,2,1,1,1,8
921,3,2,0,2,8
921,4,1,0,3,8
921,5,2,1,1,8
921,6,2,1,1,8
921,7,1,0,3,8
921,8,2,1,1,8
929,1,1,1, , 
929,2,2,0, , 
929,3,1,1, , 
929,4,2,0, , 
929,5,1,1, , 
929,6,2,1, , 
929,7,1,0, , 
929,8,2,0, , 
937,1,2,0,3,8
937,2,1,0,2,8
937,3,2,1,1,8
937,4,2,1,1,8
937,5,1,1,1,8
937,6,1,1,1,8
937,7,1,1,1,8
937,8,2,0,3,8
945,1,1,0, , 
945,2,2,1, , 
945,3,1,0, , 
945,4,1,1, , 
945,5,2,0, , 
945,6,2,0, , 
945,7,2,1, , 
945,8,1,0, , 
953,1,1,1,1,8
953,2,2,0,3,8
953,3,2,1,1,8
953,4,2,1,1,8
953,5,1,1,1,8
953,6,1,0,3,8
953,7,2,1,1,8
953,8,1,0,2,8
961,1,1,1,1,8
961,2,2,0,3,8
961,3,1,0,3,8
961,4,1,0,3,8
961,5,2,1,1,8
961,6,2,0,3,8
961,7,2,0,3,8
961,8,1,1,1,8
969,1,2,0,3,8
969,2,1,1,1,8
969,3,1,0,3,8
969,4,1,1,1,8
969,5,2,0,3,8
969,6,2,0,3,8
969,7,1,1,1,8
969,8,2,1,1,8
977,1,1,1, , 
977,2,2,1, , 
977,3,2,1, , 
977,4,2,1, , 
977,5,1,0, , 
977,6,1,0, , 
977,7,1,1, , 
977,8,2,0, , 
985,1,1,0,3,8
985,2,2,0,2,8
985,3,1,0,3,8
